date,value
2024-01-01,2450
2024-01-02,1980
2024-01-03,2670
2024-01-04,2130
2024-01-05,2350
2024-01-06,2900
2024-01-07,1750
2024-01-08,2280
2024-01-09,2420
2024-01-10,2050
2024-01-11,2600
2024-01-12,1870
2024-01-13,3100
2024-01-14,1650
2024-01-15,2330
2024-01-16,2480
2024-01-17,2200
2024-01-18,2550
2024-01-19,1920
2024-01-20,2750
2024-01-21,1800
2024-01-22,2400
2024-01-23,2250
2024-01-24,2630
2024-01-25,2100
2024-01-26,2850
2024-01-27,1700
2024-01-28,2300
2024-01-29,2470
2024-01-30,1950
2024-01-31,2680
2024-02-01,2150
2024-02-02,2340
2024-02-03,2800
2024-02-04,1820
2024-02-05,2500
2024-02-06,2230
2024-02-07,2650
2024-02-08,2000
2024-02-09,2900
2024-02-10,1770
2024-02-11,2380
2024-02-12,2520
2024-02-13,2070
2024-02-14,2700
2024-02-15,1850
2024-02-16,3000
2024-02-17,1680
2024-02-18,2450
2024-02-19,2300
2024-02-20,2600
2024-02-21,1950
2024-02-22,2780
2024-02-23,1830
2024-02-24,2350
2024-02-25,2550
2024-02-26,2100
2024-02-27,2850
2024-02-28,1720
2024-02-29,2400
2024-03-01,2250
2024-03-02,2670
2024-03-03,1980
2024-03-04,2500
2024-03-05,2200
2024-03-06,2750
2024-03-07,1870
2024-03-08,2330
2024-03-09,2600
2024-03-10,2050
2024-03-11,2900
2024-03-12,1750
2024-03-13,2450
2024-03-14,2300
2024-03-15,2650
2024-03-16,1920
2024-03-17,2800
2024-03-18,1800
2024-03-19,2380
2024-03-20,2520
2024-03-21,2150
2024-03-22,2700
2024-03-23,1850
2024-03-24,2950
2024-03-25,1700
2024-03-26,2400
2024-03-27,2250
2024-03-28,2600
2024-03-29,2000
2024-03-30,2780
2024-03-31,1900
2024-04-01,2350
2024-04-02,2480
2024-04-03,2100
2024-04-04,2850
2024-04-05,1750
2024-04-06,2450
2024-04-07,2300
2024-04-08,2650
2024-04-09,1950
2024-04-10,2750
2024-04-11,1820
2024-04-12,2380
2024-04-13,2550
2024-04-14,2070
2024-04-15,2900
2024-04-16,1680
2024-04-17,2400
2024-04-18,2250
2024-04-19,2670
2024-04-20,1980
2024-04-21,2500
2024-04-22,2200
2024-04-23,2780
2024-04-24,1850
2024-04-25,2330
2024-04-26,2600
2024-04-27,2050
2024-04-28,2950
2024-04-29,1720
2024-04-30,2450
2024-05-01,2300
2024-05-02,2650
2024-05-03,1920
2024-05-04,2800
2024-05-05,1800
2024-05-06,2380
2024-05-07,2520
2024-05-08,2150
2024-05-09,2700
2024-05-10,1870
2024-05-11,3000
2024-05-12,1650
2024-05-13,2400
2024-05-14,2250
2024-05-15,2600
2024-05-16,2000
2024-05-17,2750
2024-05-18,1900
2024-05-19,2350
2024-05-20,2480
2024-05-21,2100
2024-05-22,2850
2024-05-23,1750
2024-05-24,2450
2024-05-25,2300
2024-05-26,2650
2024-05-27,1950
2024-05-28,2780
2024-05-29,1820
2024-05-30,2380
2024-05-31,2550
2024-06-01,2070
2024-06-02,2900
2024-06-03,1680
2024-06-04,2400
2024-06-05,2250
2024-06-06,2670
2024-06-07,1980
2024-06-08,2500
2024-06-09,2200
2024-06-10,2750
2024-06-11,1870
2024-06-12,2330
2024-06-13,2600
2024-06-14,2050
2024-06-15,2950
2024-06-16,1720
2024-06-17,2450
2024-06-18,2300
2024-06-19,2650
2024-06-20,1920
2024-06-21,2800
2024-06-22,1800
2024-06-23,2380
2024-06-24,2520
2024-06-25,2150
2024-06-26,2700
2024-06-27,1850
2024-06-28,3000
2024-06-29,1650
2024-06-30,2400
2024-07-01,2250
2024-07-02,2600
2024-07-03,2000
2024-07-04,2750
2024-07-05,1900
2024-07-06,2350
2024-07-07,2480
2024-07-08,2100
2024-07-09,2850
2024-07-10,1750
2024-07-11,2450
2024-07-12,2300
2024-07-13,2650
2024-07-14,1950
2024-07-15,2780
2024-07-16,1820
2024-07-17,2380
2024-07-18,2550
2024-07-19,2070
2024-07-20,2900
2024-07-21,1680
2024-07-22,2400
2024-07-23,2250
2024-07-24,2670
2024-07-25,1980
2024-07-26,2500
2024-07-27,2200
2024-07-28,2750
2024-07-29,1870
2024-07-30,2330
2024-07-31,2600
2024-08-01,2050
2024-08-02,2950
2024-08-03,1720
2024-08-04,2450
2024-08-05,2300
2024-08-06,2650
2024-08-07,1920
2024-08-08,2800
2024-08-09,1800
2024-08-10,2380
2024-08-11,2520
2024-08-12,2150
2024-08-13,2700
2024-08-14,1850
2024-08-15,3000
2024-08-16,1650
2024-08-17,2400
2024-08-18,2250
2024-08-19,2600
2024-08-20,2000
2024-08-21,2750
2024-08-22,1900
2024-08-23,2350
2024-08-24,2480
2024-08-25,2100
2024-08-26,2850
2024-08-27,1750
2024-08-28,2450
2024-08-29,2300
2024-08-30,2650
2024-08-31,1950
2024-09-01,2780
2024-09-02,1820
2024-09-03,2380
2024-09-04,2550
2024-09-05,2070
2024-09-06,2900
2024-09-07,1680
2024-09-08,2400
2024-09-09,2250
2024-09-10,2670
2024-09-11,1980
2024-09-12,2500
2024-09-13,2200
2024-09-14,2750
2024-09-15,1870
2024-09-16,2330
2024-09-17,2600
2024-09-18,2050
2024-09-19,2950
2024-09-20,1720
2024-09-21,2450
2024-09-22,2300
2024-09-23,2650
2024-09-24,1920
2024-09-25,2800
2024-09-26,1800
2024-09-27,2380
2024-09-28,2520
2024-09-29,2150
2024-09-30,2700
2024-10-01,1850
2024-10-02,3000
2024-10-03,1650
2024-10-04,2400
2024-10-05,2250
2024-10-06,2600
2024-10-07,2000
2024-10-08,2750
2024-10-09,1900
2024-10-10,2350
2024-10-11,2480
2024-10-12,2100
2024-10-13,2850
2024-10-14,1750
2024-10-15,2450
2024-10-16,2300
2024-10-17,2650
2024-10-18,1950
2024-10-19,2780
2024-10-20,1820
2024-10-21,2380
2024-10-22,2550
2024-10-23,2070
2024-10-24,2900
2024-10-25,1680
2024-10-26,2400
2024-10-27,2250
2024-10-28,2670
2024-10-29,1980
2024-10-30,2500
2024-10-31,2200
2024-11-01,2750
2024-11-02,1870
2024-11-03,2330
2024-11-04,2600
2024-11-05,2050
2024-11-06,2950
2024-11-07,1720
2024-11-08,2450
2024-11-09,2300
2024-11-10,2650
2024-11-11,1920
2024-11-12,2800
2024-11-13,1800
2024-11-14,2380
2024-11-15,2520
2024-11-16,2150
2024-11-17,2700
2024-11-18,1850
2024-11-19,3000
2024-11-20,1650
2024-11-21,2400
2024-11-22,2250
2024-11-23,2600
2024-11-24,2000
2024-11-25,2750
2024-11-26,1900
2024-11-27,2350
2024-11-28,2480
2024-11-29,2100
2024-11-30,2850
2024-12-01,1750
2024-12-02,2450
2024-12-03,2300
2024-12-04,2650
2024-12-05,1950
2024-12-06,2780
2024-12-07,1820
2024-12-08,2380
2024-12-09,2550
2024-12-10,2070
2024-12-11,2900
2024-12-12,1680
2024-12-13,2400
2024-12-14,2250
2024-12-15,2670
2024-12-16,1980
2024-12-17,2500
2024-12-18,2200
2024-12-19,2750
2024-12-20,1870
2024-12-21,2330
2024-12-22,2600
