date,value
2024-01-01,7.8
2024-01-02,8.5
2024-01-03,6.7
2024-01-04,9.2
2024-01-05,8.0
2024-01-06,7.4
2024-01-07,8.9
2024-01-08,6.9
2024-01-09,8.3
2024-01-10,9.5
2024-01-11,7.6
2024-01-12,8.1
2024-01-13,6.5
2024-01-14,9.0
2024-01-15,8.7
2024-01-16,7.9
2024-01-17,8.4
2024-01-18,6.8
2024-01-19,9.3
2024-01-20,7.7
2024-01-21,8.2
2024-01-22,6.6
2024-01-23,9.1
2024-01-24,8.6
2024-01-25,7.5
2024-01-26,8.8
2024-01-27,6.9
2024-01-28,9.4
2024-01-29,8.0
2024-01-30,7.3
2024-01-31,8.5
2024-02-01,6.7
2024-02-02,9.2
2024-02-03,8.1
2024-02-04,7.6
2024-02-05,8.9
2024-02-06,6.8
2024-02-07,9.0
2024-02-08,8.4
2024-02-09,7.8
2024-02-10,8.3
2024-02-11,6.5
2024-02-12,9.5
2024-02-13,7.9
2024-02-14,8.6
2024-02-15,6.9
2024-02-16,9.1
2024-02-17,8.2
2024-02-18,7.4
2024-02-19,8.7
2024-02-20,6.6
2024-02-21,9.3
2024-02-22,8.0
2024-02-23,7.7
2024-02-24,8.8
2024-02-25,6.8
2024-02-26,9.4
2024-02-27,8.5
2024-02-28,7.5
2024-02-29,8.9
2024-03-01,6.7
2024-03-02,9.2
2024-03-03,8.1
2024-03-04,7.6
2024-03-05,8.3
2024-03-06,6.9
2024-03-07,9.0
2024-03-08,8.4
2024-03-09,7.8
2024-03-10,8.6
2024-03-11,6.5
2024-03-12,9.5
2024-03-13,7.9
2024-03-14,8.2
2024-03-15,6.8
2024-03-16,9.1
2024-03-17,8.0
2024-03-18,7.4
2024-03-19,8.7
2024-03-20,6.6
2024-03-21,9.3
2024-03-22,8.5
2024-03-23,7.7
2024-03-24,8.8
2024-03-25,6.9
2024-03-26,9.4
2024-03-27,8.1
2024-03-28,7.5
2024-03-29,8.9
2024-03-30,6.7
2024-03-31,9.2
2024-04-01,8.3
2024-04-02,7.6
2024-04-03,8.0
2024-04-04,6.8
2024-04-05,9.0
2024-04-06,8.4
2024-04-07,7.9
2024-04-08,8.6
2024-04-09,6.5
2024-04-10,9.5
2024-04-11,8.2
2024-04-12,7.8
2024-04-13,8.7
2024-04-14,6.9
2024-04-15,9.1
2024-04-16,8.0
2024-04-17,7.4
2024-04-18,8.8
2024-04-19,6.6
2024-04-20,9.3
2024-04-21,8.5
2024-04-22,7.7
2024-04-23,8.9
2024-04-24,6.7
2024-04-25,9.2
2024-04-26,8.1
2024-04-27,7.5
2024-04-28,8.4
2024-04-29,6.8
2024-04-30,9.0
2024-05-01,8.6
2024-05-02,7.9
2024-05-03,8.3
2024-05-04,6.5
2024-05-05,9.5
2024-05-06,8.0
2024-05-07,7.6
2024-05-08,8.7
2024-05-09,6.9
2024-05-10,9.1
2024-05-11,8.2
2024-05-12,7.8
2024-05-13,8.8
2024-05-14,6.6
2024-05-15,9.4
2024-05-16,8.5
2024-05-17,7.7
2024-05-18,8.9
2024-05-19,6.7
2024-05-20,9.2
2024-05-21,8.1
2024-05-22,7.5
2024-05-23,8.3
